id	minimum_pValue	call
FBgn0000527	0.0101426788829464	absent
FBgn0000529	0.233791754580489	absent
FBgn0000533	0.0185197245868765	absent
FBgn0000535	0.674356721268418	absent
FBgn0000536	1.71380878340474e-05	present
FBgn0000541	0.000102445813942556	present
FBgn0000542	0.00914990154251796	present
FBgn0000543	6.5781527488056e-06	present
FBgn0000546	0.0142303222102394	absent
FBgn0000547	0.00983225044970436	present
FBgn0000551	0.379943468592778	absent
FBgn0000552	NA	absent
FBgn0000557	0.00111810306399916	present
FBgn0000559	1.12451686359963e-11	present
FBgn0000560	0.00800614677874272	present
FBgn0000562	0.00061832051966334	present
FBgn0000564	0.339533032289292	absent
FBgn0000565	2.93126647380492e-06	present
FBgn0000566	3.68258233313568e-05	present
FBgn0000567	0.0111272710240453	absent
FBgn0000568	0.00331211347597915	present
FBgn0000575	0.000719641956074602	present
FBgn0000576	0.158279676213542	absent
FBgn0000577	0.0148027507334569	absent
FBgn0000578	0.000198077604077169	present
FBgn0000579	6.1106876363174e-11	present
FBgn0000581	1.06399924974793e-05	present
FBgn0000588	0.00787700196237844	present
FBgn0000591	NA	absent
FBgn0000592	1.07058785331024e-09	present
FBgn0000594	0.187926227432078	absent
FBgn0000606	0.00371630079908076	present
FBgn0000611	0.000166605425599243	present
FBgn0000615	1.75475739050906e-14	present
FBgn0000617	8.10852986348584e-06	present
FBgn0000618	5.04693031779808e-07	present
FBgn0000625	0.052186992855626	absent
FBgn0000629	0.000399286535703434	present
FBgn0000633	0.53775104122875	absent
FBgn0000635	0.000215019908649622	present
FBgn0000636	1.06042967702965e-05	present
FBgn0000639	4.72217479569808e-05	present
FBgn0000640	2.87268867970927e-06	present
FBgn0000644	0.0683073023762178	absent
FBgn0000658	0.613638096409336	absent
FBgn0000659	0.0286016459543343	absent
FBgn0000662	7.310892171977e-05	present
FBgn0000667	3.32598671872717e-05	present
FBgn0000709	0.00260288487252585	present
FBgn0000711	0.0013555186927573	present
FBgn0000715	0.354507317335336	absent
FBgn0000719	0.0234547374706696	absent
FBgn0000721	3.52875061309765e-05	present
FBgn0000723	0.00110298517612291	present
FBgn0000808	0.473108679447033	absent
FBgn0000810	2.88524191062248e-05	present
FBgn0000826	0.00679709629713411	present
FBgn0000927	0.203523708669106	absent
FBgn0000928	0.00246808448181936	present
FBgn0000964	0.00236805642246717	present
FBgn0000996	0.00012279236144018	present
FBgn0001075	0.315525031188903	absent
FBgn0001077	0.00295851953242558	present
FBgn0001078	0.0170494547568939	absent
FBgn0001079	0.0112908239686482	absent
FBgn0001083	0.47819865735156	absent
FBgn0001084	0.0231311491572102	absent
FBgn0001085	0.0763017769320146	absent
FBgn0001086	1.4482221430094e-06	present
FBgn0001087	4.03063258154208e-05	present
FBgn0001089	3.85060988866457e-06	present
FBgn0001090	4.89476769291384e-09	present
FBgn0001091	2.89900933833165e-07	present
FBgn0001092	4.18467706350204e-08	present
FBgn0001098	2.38645938758644e-08	present
FBgn0001099	1.14538858074178e-11	present
FBgn0001104	0.000330035842105366	present
FBgn0001105	1.29577840739778e-07	present
FBgn0001108	8.5196713948532e-06	present
FBgn0001112	3.22365767201554e-05	present
FBgn0001114	7.05141940085736e-07	present
FBgn0001120	0.0594864679108616	absent
FBgn0001122	2.73002945001928e-05	present
FBgn0001123	2.36696494565826e-05	present
FBgn0001124	2.85560838389164e-12	present
FBgn0001125	2.2728048717107e-10	present
FBgn0001128	4.6632587696148e-07	present
FBgn0001133	3.20760103094138e-07	present
FBgn0001134	0.317672770645659	absent
FBgn0001137	0.0041203564925592	present
FBgn0001138	0.710233408873038	absent
FBgn0001139	6.67058913015496e-06	present
FBgn0001142	4.17057466706472e-05	present
FBgn0001145	1.95817243429985e-06	present
FBgn0001147	0.284391031205066	absent
FBgn0001148	0.112974136410516	absent
FBgn0001149	2.67734575223204e-11	present
FBgn0001150	NA	absent
FBgn0001168	4.55190756424516e-05	present
FBgn0001169	1.94517548874712e-05	present
FBgn0001170	0.469351743850348	absent
FBgn0001174	0.158914931811058	absent
FBgn0001179	3.23187987217589e-05	present
FBgn0001180	0.0486330714899238	absent
FBgn0001185	0.00792410245570908	present
FBgn0001186	4.10568372222832e-07	present
FBgn0001187	5.60949487725432e-05	present
FBgn0001189	5.0840436197804e-05	present
FBgn0001197	4.70898027186564e-10	present
FBgn0001202	0.000179543526654058	present
FBgn0001206	0.00169507865204455	present
FBgn0001208	0.00846826139581456	present
FBgn0001215	2.38543279448255e-12	present
FBgn0001216	6.82475490549956e-10	present
FBgn0001217	9.09583230914748e-13	present
FBgn0001218	1.04378475503621e-11	present
FBgn0001220	2.82889972514125e-11	present
FBgn0001222	7.83051631625852e-05	present
FBgn0001223	0.000389496457924678	present
FBgn0001224	2.94117916223634e-09	present
FBgn0001225	1.0750226528609e-11	present
FBgn0001226	9.69134331172136e-15	present
FBgn0001227	4.7018727019364e-07	present
FBgn0001228	8.94505446317768e-09	present
FBgn0001229	0.0307394243986074	absent
FBgn0001230	1.53096915105582e-09	present
FBgn0001233	1.44742549215287e-16	present
FBgn0001235	0.0323435607155066	absent
FBgn0001247	1.65067808541485e-05	present
FBgn0001248	2.52371317020308e-12	present
FBgn0001250	0.00690765338782	present
FBgn0001253	0.498499825502508	absent
FBgn0001254	0.0728675432572362	absent
FBgn0001255	0.00723998430858552	present
FBgn0001256	0.169909322354075	absent
FBgn0001257	0.000501666547908088	present
FBgn0001258	1.00238434735372e-07	present
FBgn0001259	0.172831468639675	absent
FBgn0001263	0.11657822247414	absent
FBgn0001269	0.0075941866745632	present
FBgn0001276	0.00620571605240164	present
FBgn0001280	2.85675913315165e-12	present
FBgn0001281	7.92241989708336e-12	present
FBgn0001285	0.000311205366588726	present
FBgn0001291	1.23734034792092e-08	present
FBgn0001296	0.00117140864127496	present
FBgn0001297	0.000168243153757693	present
FBgn0001301	8.33880305992424e-05	present
FBgn0001308	6.3565447087156e-06	present
FBgn0001311	0.00692185117670556	present
FBgn0001313	0.00280811240678004	present
FBgn0001316	0.000109207473617578	present
FBgn0001319	0.419466926894468	absent
FBgn0001320	0.0165837814799939	absent
FBgn0001321	0.0190073746528345	absent
FBgn0001323	0.09786592460749	absent
FBgn0001324	4.40383095544048e-07	present
FBgn0001325	0.124839057446349	absent
FBgn0001330	0.00738055493626748	present
FBgn0001341	0.000253079292755516	present
FBgn0001404	4.00001642930016e-05	present
FBgn0001491	6.29659304468648e-09	present
FBgn0001565	0.000629480326206414	present
FBgn0001612	0.00235945080798105	present
FBgn0001624	0.000529488902537676	present
FBgn0001941	7.101347938107e-08	present
FBgn0001942	2.90312680238195e-12	present
FBgn0001961	1.61269468353262e-09	present
FBgn0001965	0.000389114892320446	present
FBgn0001967	0.0010121297272425	present
FBgn0001970	4.85527242427566e-05	present
FBgn0001977	2.29836275038824e-09	present
FBgn0001978	2.40942295775225e-07	present
FBgn0001981	0.00139659174969038	present
FBgn0001983	0.372887916814581	absent
FBgn0001986	0.0001739323419533	present
FBgn0001987	0.00423810363194276	present
FBgn0001989	5.17837831713852e-08	present
FBgn0001990	0.000224318668759502	present
FBgn0001991	0.00068495889884652	present
FBgn0001992	0.117928293561152	absent
FBgn0001994	0.000634275943598112	present
FBgn0001995	6.28271656973196e-06	present
FBgn0002021	1.10891515258887e-06	present
FBgn0002022	1.29662183033644e-07	present
FBgn0002023	2.2824224388627e-05	present
FBgn0002031	2.38233386482507e-08	present
FBgn0002036	9.0754408206534e-10	present
FBgn0002044	7.86069436607876e-06	present
FBgn0002069	1.18136888555252e-05	present
FBgn0002121	0.000222537586375397	present
FBgn0002174	3.66468973765108e-11	present
FBgn0002183	2.33582528254926e-07	present
FBgn0002283	1.25246112135701e-06	present
FBgn0002284	2.3411788639153e-10	present
FBgn0002306	0.000604360506943996	present
FBgn0002354	1.23171567030705e-05	present
FBgn0002413	7.16210545942848e-07	present
FBgn0002431	9.13808062907284e-06	present
FBgn0002440	0.257027247576481	absent
FBgn0002441	4.99672918633732e-05	present
FBgn0002466	0.00034510667505042	present
FBgn0002521	7.97623603816044e-06	present
FBgn0002522	0.0163226816113915	absent
FBgn0002524	0.000644458910215421	present
FBgn0002525	1.44643068716262e-09	present
FBgn0002526	0.00521404371743676	present
FBgn0002531	NA	absent
FBgn0002533	0.00868743816858795	present
FBgn0002534	0.0666543920628504	absent
FBgn0002535	0.00609739101102875	present
FBgn0002542	5.09215016559776e-06	present
FBgn0002543	0.00981364587511924	present
FBgn0002552	8.51025501145424e-06	present
FBgn0002561	0.461428348431604	absent
FBgn0002562	0.000140136148276709	present
FBgn0002563	4.63639861069748e-05	present
FBgn0002564	1.60018093636753e-06	present
FBgn0002565	3.30303820911923e-05	present
FBgn0002566	7.5476946143294e-05	present
FBgn0002567	4.75606148078168e-06	present
FBgn0002569	0.00064736574797854	present
FBgn0002570	2.56740174592357e-07	present
FBgn0002571	0.00012501825802537	present
FBgn0002573	0.0072320839636814	present
FBgn0002576	0.190105362383514	absent
FBgn0002577	0.234290550645287	absent
FBgn0002578	0.00307804905921098	present
FBgn0002579	2.87772199423121e-14	present
FBgn0002590	3.53353371801684e-11	present
FBgn0002592	0.249120700904742	absent
FBgn0002593	1.04292295200015e-13	present
FBgn0002609	0.097627411496492	absent
FBgn0002622	1.50538395008088e-14	present
FBgn0002626	2.57906860491044e-12	present
FBgn0002629	0.242769371879597	absent
FBgn0002631	NA	absent
FBgn0002632	0.449355934207722	absent
FBgn0002633	0.439791488119599	absent
FBgn0002638	1.4450239180289e-08	present
FBgn0002641	0.00750796239796414	present
FBgn0002643	1.04515869071541e-08	present
FBgn0002645	2.11416133457269e-06	present
FBgn0002673	3.87338736751785e-08	present
FBgn0002707	0.0266769963722636	absent
FBgn0002709	2.60462285876481e-08	present
FBgn0002715	3.74104589312178e-09	present
FBgn0002716	0.0729914615756397	absent
FBgn0002719	3.35640061213388e-10	present
FBgn0002723	0.01883463479617	absent
FBgn0002732	0.00116134229600684	present
FBgn0002733	0.187100227858891	absent
FBgn0002734	NA	absent
FBgn0002735	NA	absent
FBgn0002736	1.47891702638608e-06	present
FBgn0002772	5.93490228756968e-06	present
FBgn0002773	2.10707608459486e-06	present
FBgn0002774	1.5373553501482e-05	present
FBgn0002775	1.10804173717886e-05	present
FBgn0002778	0.0233725411491053	absent
FBgn0002780	1.04823511512259e-06	present
FBgn0002781	3.79956674917876e-08	present
FBgn0002783	1.9856746083606e-06	present
FBgn0002787	3.95599405662846e-13	present
FBgn0002789	6.61501117721808e-07	present
FBgn0002791	1.307904360997e-05	present
FBgn0002838	9.96777949481392e-06	present
FBgn0002842	9.36280535382752e-08	present
FBgn0002855	5.45104911674648e-09	present
FBgn0002856	2.62006984592598e-09	present
FBgn0002862	2.4282801030569e-19	present
FBgn0002863	1.13557526240909e-16	present
FBgn0002865	8.13684750236352e-15	present
FBgn0002868	7.77952195909744e-22	present
FBgn0002869	5.12851310991016e-07	present
FBgn0002872	0.000168424710127692	present
FBgn0002873	3.75540384527049e-07	present
FBgn0002878	0.00103661628052957	present
FBgn0002887	0.000523854561785144	present
FBgn0002891	0.0035640710245511	present
FBgn0002899	0.0112171310904852	absent
FBgn0002901	0.00124220644057338	present
FBgn0002905	0.00174553403331515	present
FBgn0002906	7.48661241803792e-06	present
FBgn0002909	0.000474737728378368	present
FBgn0002914	1.08232627075739e-09	present
FBgn0002917	0.24703368844662	absent
FBgn0002921	6.40997143626488e-09	present
FBgn0002922	0.514177155642776	absent
FBgn0002924	1.22941698753382e-07	present
FBgn0002926	0.396043117880829	absent
FBgn0002930	7.22671881804536e-06	present
FBgn0002931	1.90284007207013e-05	present
FBgn0002932	1.2200745035404e-06	present
FBgn0002933	NA	absent
FBgn0002936	0.00841223638019638	present
FBgn0002937	0.694921636108784	absent
FBgn0002938	0.0663849077274846	absent
FBgn0002939	0.000448197858728424	present
FBgn0002940	5.10208932426648e-08	present
FBgn0002941	NA	absent
FBgn0002945	0.151909963365143	absent
FBgn0002948	0.104300561000575	absent
FBgn0002962	0.00946359800487892	present
FBgn0002973	7.0538429037696e-06	present
FBgn0002985	0.089891777761218	absent
FBgn0002989	0.00107692221845672	present
FBgn0003002	0.776075275330367	absent
FBgn0003008	1.03329704119828e-05	present
FBgn0003009	3.36799259322382e-05	present
FBgn0003011	0.282889637771249	absent
FBgn0003015	0.0518780185460852	absent
FBgn0003016	0.000246240078607058	present
FBgn0003023	0.0183617586594233	absent
FBgn0003028	0.336488099392246	absent
FBgn0003034	2.23136134906302e-15	present
FBgn0003041	0.00612276122597942	present
FBgn0003042	0.000827846498062852	present
FBgn0003044	3.4652247519931e-05	present
FBgn0003046	0.000110841139002735	present
FBgn0003048	0.000476991534406784	present
FBgn0003053	5.57164028167028e-05	present
FBgn0003057	NA	absent
FBgn0003060	0.00192505705109879	present
FBgn0003062	8.011151290278e-07	present
FBgn0003065	0.00063022059639898	present
FBgn0003067	0.000206412048794377	present
FBgn0003068	0.00858015233159656	present
FBgn0003071	4.48622137311896e-10	present
FBgn0003074	1.90856149001843e-11	present
FBgn0003076	2.38854468191636e-06	present
FBgn0003079	0.0017062690186661	present
FBgn0003082	0.000733495563762516	present
FBgn0003086	0.0211833199795512	absent
FBgn0003087	3.73123791023238e-07	present
FBgn0003089	0.0110170068285624	absent
