id	minimum_pValue	call
FBgn0000527	0.0152140183244197	absent
FBgn0000529	0.233791754580489	absent
FBgn0000533	0.0308662076447942	absent
FBgn0000535	0.809228065522101	absent
FBgn0000536	3.29970213316061e-06	present
FBgn0000541	5.05388533620447e-06	present
FBgn0000542	0.0137248523137769	absent
FBgn0000543	9.8672291232084e-06	present
FBgn0000546	0.0213454833153592	absent
FBgn0000547	0.00889390274197364	present
FBgn0000551	0.0521902633541955	absent
FBgn0000552	NA	absent
FBgn0000557	0.0011198333015522	present
FBgn0000559	1.68677529539945e-11	present
FBgn0000560	0.000592610485035627	present
FBgn0000562	0.00092748077949501	present
FBgn0000564	0.339533032289292	absent
FBgn0000565	4.39689971070739e-06	present
FBgn0000566	4.17768953218623e-05	present
FBgn0000567	0.016690906536068	absent
FBgn0000568	0.00496817021396872	present
FBgn0000575	0.000719641956074602	present
FBgn0000576	0.277452659856089	absent
FBgn0000577	0.0222041261001853	absent
FBgn0000578	0.000297116406115754	present
FBgn0000579	9.1660314544761e-11	present
FBgn0000581	1.5959988746219e-05	present
FBgn0000588	0.00485484285497211	present
FBgn0000591	0.29875615194283	absent
FBgn0000592	1.60588177996535e-09	present
FBgn0000594	0.114991415405736	absent
FBgn0000606	0.00743260159816152	present
FBgn0000611	0.000117513024641879	present
FBgn0000615	6.75256203602586e-15	present
FBgn0000617	1.21627947952288e-05	present
FBgn0000618	7.57039547669712e-07	present
FBgn0000625	0.104373985711252	absent
FBgn0000629	0.000598929803555151	present
FBgn0000633	0.671945878607209	absent
FBgn0000635	0.000322529862974433	present
FBgn0000636	1.59064451554447e-05	present
FBgn0000639	4.72217479569808e-05	present
FBgn0000640	4.3090330195639e-06	present
FBgn0000644	0.09564782289651	absent
FBgn0000658	0.731925202928364	absent
FBgn0000659	0.0357520574429179	absent
FBgn0000662	0.000109663382579655	present
FBgn0000667	4.98898007809075e-05	present
FBgn0000709	0.00199421786573177	present
FBgn0000711	0.00110888857611122	present
FBgn0000715	0.250872910701227	absent
FBgn0000719	0.026736525959192	absent
FBgn0000721	5.29312591964647e-05	present
FBgn0000723	0.0011036741340034	present
FBgn0000808	0.168563987476722	absent
FBgn0000810	4.32786286593373e-05	present
FBgn0000826	0.00566424691427843	present
FBgn0000927	0.203523708669106	absent
FBgn0000928	0.00180958798118965	present
FBgn0000964	0.00355208463370075	present
FBgn0000996	0.00018418854216027	present
FBgn0001075	0.315525031188903	absent
FBgn0001077	0.00443777929863838	present
FBgn0001078	0.00852472737844696	present
FBgn0001079	0.0169362359529724	absent
FBgn0001083	0.620800487137178	absent
FBgn0001084	0.00638882110336362	present
FBgn0001085	0.0536699235722906	absent
FBgn0001086	9.88877628983652e-07	present
FBgn0001087	6.04594887231312e-05	present
FBgn0001089	5.77591483299685e-06	present
FBgn0001090	7.34215153937076e-09	present
FBgn0001091	4.34851400749747e-07	present
FBgn0001092	6.27701559525306e-08	present
FBgn0001098	3.57968908137965e-08	present
FBgn0001099	8.59041435556332e-12	present
FBgn0001104	0.00049505376315805	present
FBgn0001105	1.94366761109666e-07	present
FBgn0001108	1.27795070922798e-05	present
FBgn0001112	4.83548650802331e-05	present
FBgn0001114	1.0577129101286e-06	present
FBgn0001120	0.0735134959877138	absent
FBgn0001122	4.09504417502893e-05	present
FBgn0001123	2.74974333788269e-06	present
FBgn0001124	4.28341257583747e-12	present
FBgn0001125	3.40920730756605e-10	present
FBgn0001128	6.9948881544222e-07	present
FBgn0001133	4.81140154641207e-07	present
FBgn0001134	0.423563694194212	absent
FBgn0001137	0.0061805347388388	present
FBgn0001138	0.710233408873038	absent
FBgn0001139	4.649821604626e-06	present
FBgn0001142	6.25586200059708e-05	present
FBgn0001145	2.93725865144977e-06	present
FBgn0001147	0.178249141377312	absent
FBgn0001148	0.213092139057651	absent
FBgn0001149	4.01601862834807e-11	present
FBgn0001150	NA	absent
FBgn0001168	6.82786134636774e-05	present
FBgn0001169	2.91776323312068e-05	present
FBgn0001170	0.469351743850348	absent
FBgn0001174	0.202833522199545	absent
FBgn0001179	4.84781980826384e-05	present
FBgn0001180	0.081055119149873	absent
FBgn0001185	0.00396205122785454	present
FBgn0001186	6.15852558334248e-07	present
FBgn0001187	8.41424231588148e-05	present
FBgn0001189	7.6260654296706e-05	present
FBgn0001197	7.06347040779846e-10	present
FBgn0001202	8.30214651009528e-05	present
FBgn0001206	0.00117578260975972	present
FBgn0001208	0.0127023920937218	absent
FBgn0001215	3.57814919172382e-12	present
FBgn0001216	1.02371323582493e-09	present
FBgn0001217	1.36437484637212e-12	present
FBgn0001218	1.56567713255432e-11	present
FBgn0001220	4.24334958771188e-11	present
FBgn0001222	2.2505903018332e-05	present
FBgn0001223	6.33852100349676e-05	present
FBgn0001224	6.80906365372056e-10	present
FBgn0001225	9.41130440539416e-12	present
FBgn0001226	1.4537014967582e-14	present
FBgn0001227	7.0528090529046e-07	present
FBgn0001228	9.58189597650024e-11	present
FBgn0001229	0.00655039109219259	present
FBgn0001230	2.29645372658374e-09	present
FBgn0001233	2.17113823822931e-16	present
FBgn0001235	0.0485153410732599	absent
FBgn0001247	1.62317532577239e-06	present
FBgn0001248	3.78556975530463e-12	present
FBgn0001250	0.01036148008173	absent
FBgn0001253	0.747749738253762	absent
FBgn0001254	0.0728675432572362	absent
FBgn0001255	0.0093404001251056	present
FBgn0001256	0.268198436321337	absent
FBgn0001257	0.000371134183743094	present
FBgn0001258	1.50357652103057e-07	present
FBgn0001259	0.231687930854867	absent
FBgn0001263	0.17486733371121	absent
FBgn0001269	0.0062513596458539	present
FBgn0001276	0.00930857407860246	present
FBgn0001280	4.28513869972748e-12	present
FBgn0001281	2.55310699159656e-15	present
FBgn0001285	0.000311205366588726	present
FBgn0001291	1.85601052188137e-08	present
FBgn0001296	0.00175711296191244	present
FBgn0001297	0.000252364730636539	present
FBgn0001301	0.00010081877904134	present
FBgn0001308	9.5348170630734e-06	present
FBgn0001311	0.0103827767650583	absent
FBgn0001313	0.00153947393899187	present
FBgn0001316	0.000163811210426367	present
FBgn0001319	0.701286507416338	absent
FBgn0001320	0.0331675629599877	absent
FBgn0001321	0.0010681140844361	present
FBgn0001323	0.146798886911235	absent
FBgn0001324	5.35191977552834e-07	present
FBgn0001325	0.0286281000214555	absent
FBgn0001330	0.00902026657114906	present
FBgn0001341	0.000379618939133274	present
FBgn0001404	6.00002464395024e-05	present
FBgn0001491	9.44488956702972e-09	present
FBgn0001565	0.000944220489309621	present
FBgn0001612	0.000334588948387611	present
FBgn0001624	0.000794233353806514	present
FBgn0001941	1.06520219071605e-07	present
FBgn0001942	4.35469020357292e-12	present
FBgn0001961	2.41904202529892e-09	present
FBgn0001965	0.000539121100904553	present
FBgn0001967	0.000506064863621248	present
FBgn0001970	6.40206901305885e-06	present
FBgn0001977	3.44754412558237e-09	present
FBgn0001978	3.61413443662838e-07	present
FBgn0001981	0.00209488762453558	present
FBgn0001983	0.372887916814581	absent
FBgn0001986	3.87619417337596e-05	present
FBgn0001987	0.00414167503047371	present
FBgn0001989	7.76756747570778e-08	present
FBgn0001990	0.000336478003139252	present
FBgn0001991	0.00038777423179175	present
FBgn0001992	0.0240632209346124	absent
FBgn0001994	0.000475706957698584	present
FBgn0001995	9.42407485459794e-06	present
FBgn0002021	9.93537002066376e-07	present
FBgn0002022	1.94493274550466e-07	present
FBgn0002023	3.42363365829404e-05	present
FBgn0002031	4.44399625992291e-09	present
FBgn0002036	7.721234947185e-10	present
FBgn0002044	1.17910415491181e-05	present
FBgn0002069	1.25940820534035e-05	present
FBgn0002121	0.000120039182470905	present
FBgn0002174	5.49703460647662e-11	present
FBgn0002183	3.5037379238239e-07	present
FBgn0002283	1.34487324676361e-06	present
FBgn0002284	3.51176829587296e-10	present
FBgn0002306	0.000906540760415994	present
FBgn0002354	2.03148927981265e-06	present
FBgn0002413	1.07431581891427e-06	present
FBgn0002431	2.098692425742e-06	present
FBgn0002440	0.163376844948988	absent
FBgn0002441	7.49509377950598e-05	present
FBgn0002466	0.000396862735524108	present
FBgn0002521	2.02285744444801e-07	present
FBgn0002522	0.00626304306897765	present
FBgn0002524	0.000318035700693345	present
FBgn0002525	2.16964603074393e-09	present
FBgn0002526	0.00782106557615514	present
FBgn0002531	NA	absent
FBgn0002533	0.0260623145057639	absent
FBgn0002534	0.080709239190248	absent
FBgn0002535	0.0121947820220575	absent
FBgn0002542	4.88227863670658e-06	present
FBgn0002543	0.0130888455425704	absent
FBgn0002552	1.27653825171814e-05	present
FBgn0002561	0.461428348431604	absent
FBgn0002562	0.000140136148276709	present
FBgn0002563	6.95459791604622e-05	present
FBgn0002564	2.66696822727921e-06	present
FBgn0002565	4.95455731367885e-05	present
FBgn0002566	5.27410968858946e-06	present
FBgn0002567	1.77121500775547e-06	present
FBgn0002569	0.00097104862196781	present
FBgn0002570	2.56740174592357e-07	present
FBgn0002571	0.000156272822531713	present
FBgn0002573	0.00803615687377261	present
FBgn0002576	0.380210724767028	absent
FBgn0002577	0.22727436832147	absent
FBgn0002578	0.00307804905921098	present
FBgn0002579	4.31658299134681e-14	present
FBgn0002590	5.30030057702526e-11	present
FBgn0002592	0.304253901376395	absent
FBgn0002593	1.56438442800022e-13	present
FBgn0002609	0.0882886932359684	absent
FBgn0002622	2.25807592512133e-14	present
FBgn0002626	3.86860290736566e-12	present
FBgn0002629	0.323692495839462	absent
FBgn0002631	NA	absent
FBgn0002632	0.449355934207722	absent
FBgn0002633	0.439791488119599	absent
FBgn0002638	2.16753587704335e-08	present
FBgn0002641	0.00752123081068509	present
FBgn0002643	1.56773803607312e-08	present
FBgn0002645	1.02629256170678e-06	present
FBgn0002673	2.48312688249754e-08	present
FBgn0002707	0.0149376110765447	absent
FBgn0002709	1.86051343956497e-08	present
FBgn0002715	5.61156883968266e-09	present
FBgn0002716	0.0293535640759351	absent
FBgn0002719	5.03460091820081e-10	present
FBgn0002723	0.010395321199291	absent
FBgn0002732	0.00232268459201368	present
FBgn0002733	0.148839527885391	absent
FBgn0002734	0.188162746297994	absent
FBgn0002735	0.355548132915347	absent
FBgn0002736	2.21837553957913e-06	present
FBgn0002772	8.90235343135452e-06	present
FBgn0002773	3.16061412689228e-06	present
FBgn0002774	1.52804251853025e-05	present
FBgn0002775	1.6620626057683e-05	present
FBgn0002778	0.0233725411491053	absent
FBgn0002780	1.57235267268389e-06	present
FBgn0002781	5.69935012376814e-08	present
FBgn0002783	2.97851191254089e-06	present
FBgn0002787	5.93399108494268e-13	present
FBgn0002789	9.92251676582712e-07	present
FBgn0002791	1.48155264222341e-06	present
FBgn0002838	1.70400233918144e-06	present
FBgn0002842	1.05728456089249e-07	present
FBgn0002855	5.45104911674648e-09	present
